"age","hours","platform","ch","own","chid"
33,2,"GameBoy",6,0,1
33,2,"GameCube",5,0,1
33,2,"PC",4,1,1
33,2,"PlayStation",1,1,1
33,2,"PSPortable",3,0,1
33,2,"Xbox",2,0,1
19,3.25,"GameBoy",6,0,2
19,3.25,"GameCube",5,0,2
19,3.25,"PC",1,1,2
19,3.25,"PlayStation",2,1,2
19,3.25,"PSPortable",3,0,2
19,3.25,"Xbox",4,0,2
18,4,"GameBoy",6,0,3
18,4,"GameCube",4,0,3
18,4,"PC",5,1,3
18,4,"PlayStation",1,1,3
18,4,"PSPortable",2,0,3
18,4,"Xbox",3,0,3
18,6,"GameBoy",4,1,4
18,6,"GameCube",1,1,4
18,6,"PC",2,1,4
18,6,"PlayStation",5,0,4
18,6,"PSPortable",6,0,4
18,6,"Xbox",3,1,4
18,2,"GameBoy",6,0,5
18,2,"GameCube",4,0,5
18,2,"PC",5,1,5
18,2,"PlayStation",2,0,5
18,2,"PSPortable",3,0,5
18,2,"Xbox",1,0,5
20,15,"GameBoy",6,0,6
20,15,"GameCube",4,0,6
20,15,"PC",1,1,6
20,15,"PlayStation",2,1,6
20,15,"PSPortable",5,0,6
20,15,"Xbox",3,0,6
18,7,"GameBoy",5,1,7
18,7,"GameCube",6,0,7
18,7,"PC",1,1,7
18,7,"PlayStation",2,1,7
18,7,"PSPortable",4,0,7
18,7,"Xbox",3,0,7
18,0,"GameBoy",5,0,8
18,0,"GameCube",1,0,8
18,0,"PC",6,0,8
18,0,"PlayStation",3,0,8
18,0,"PSPortable",4,0,8
18,0,"Xbox",2,0,8
18,0,"GameBoy",6,0,9
18,0,"GameCube",5,0,9
18,0,"PC",4,0,9
18,0,"PlayStation",3,0,9
18,0,"PSPortable",1,0,9
18,0,"Xbox",2,0,9
18,8,"GameBoy",6,0,10
18,8,"GameCube",5,0,10
18,8,"PC",3,1,10
18,8,"PlayStation",1,0,10
18,8,"PSPortable",4,0,10
18,8,"Xbox",2,0,10
18,8,"GameBoy",6,0,11
18,8,"GameCube",5,0,11
18,8,"PC",3,1,11
18,8,"PlayStation",1,1,11
18,8,"PSPortable",4,1,11
18,8,"Xbox",2,0,11
17,3,"GameBoy",5,0,12
17,3,"GameCube",6,0,12
17,3,"PC",1,1,12
17,3,"PlayStation",2,0,12
17,3,"PSPortable",4,0,12
17,3,"Xbox",3,0,12
22,0,"GameBoy",1,0,13
22,0,"GameCube",2,0,13
22,0,"PC",6,1,13
22,0,"PlayStation",4,0,13
22,0,"PSPortable",5,0,13
22,0,"Xbox",3,0,13
18,4,"GameBoy",5,1,14
18,4,"GameCube",6,0,14
18,4,"PC",1,1,14
18,4,"PlayStation",2,0,14
18,4,"PSPortable",4,0,14
18,4,"Xbox",3,0,14
18,4,"GameBoy",6,0,15
18,4,"GameCube",5,0,15
18,4,"PC",4,1,15
18,4,"PlayStation",2,0,15
18,4,"PSPortable",3,1,15
18,4,"Xbox",1,1,15
18,5,"GameBoy",6,0,16
18,5,"GameCube",5,0,16
18,5,"PC",4,0,16
18,5,"PlayStation",2,1,16
18,5,"PSPortable",1,1,16
18,5,"Xbox",3,1,16
22,0,"GameBoy",4,0,17
22,0,"GameCube",6,0,17
22,0,"PC",2,1,17
22,0,"PlayStation",1,0,17
22,0,"PSPortable",3,0,17
22,0,"Xbox",5,0,17
19,0,"GameBoy",4,0,18
19,0,"GameCube",1,0,18
19,0,"PC",6,1,18
19,0,"PlayStation",3,0,18
19,0,"PSPortable",2,0,18
19,0,"Xbox",5,0,18
19,0,"GameBoy",6,0,19
19,0,"GameCube",5,0,19
19,0,"PC",1,1,19
19,0,"PlayStation",2,0,19
19,0,"PSPortable",4,0,19
19,0,"Xbox",3,0,19
19,0,"GameBoy",6,0,20
19,0,"GameCube",3,0,20
19,0,"PC",1,1,20
19,0,"PlayStation",4,0,20
19,0,"PSPortable",5,0,20
19,0,"Xbox",2,0,20
17,0,"GameBoy",3,0,21
17,0,"GameCube",6,0,21
17,0,"PC",1,1,21
17,0,"PlayStation",5,0,21
17,0,"PSPortable",4,0,21
17,0,"Xbox",2,0,21
18,3,"GameBoy",2,0,22
18,3,"GameCube",6,0,22
18,3,"PC",1,1,22
18,3,"PlayStation",4,0,22
18,3,"PSPortable",5,0,22
18,3,"Xbox",3,0,22
18,1,"GameBoy",4,0,23
18,1,"GameCube",6,0,23
18,1,"PC",5,1,23
18,1,"PlayStation",2,0,23
18,1,"PSPortable",3,0,23
18,1,"Xbox",1,1,23
19,1,"GameBoy",5,0,24
19,1,"GameCube",6,0,24
19,1,"PC",4,1,24
19,1,"PlayStation",1,1,24
19,1,"PSPortable",3,1,24
19,1,"Xbox",2,0,24
19,2,"GameBoy",5,0,25
19,2,"GameCube",6,0,25
19,2,"PC",2,1,25
19,2,"PlayStation",4,0,25
19,2,"PSPortable",3,0,25
19,2,"Xbox",1,1,25
22,0,"GameBoy",5,0,26
22,0,"GameCube",4,0,26
22,0,"PC",3,0,26
22,0,"PlayStation",2,0,26
22,0,"PSPortable",6,0,26
22,0,"Xbox",1,0,26
18,2,"GameBoy",6,0,27
18,2,"GameCube",5,0,27
18,2,"PC",4,1,27
18,2,"PlayStation",2,1,27
18,2,"PSPortable",3,0,27
18,2,"Xbox",1,0,27
20,15,"GameBoy",6,0,28
20,15,"GameCube",4,0,28
20,15,"PC",1,1,28
20,15,"PlayStation",2,1,28
20,15,"PSPortable",5,0,28
20,15,"Xbox",3,0,28
18,2,"GameBoy",6,0,29
18,2,"GameCube",3,0,29
18,2,"PC",2,1,29
18,2,"PlayStation",4,0,29
18,2,"PSPortable",5,0,29
18,2,"Xbox",1,0,29
18,10,"GameBoy",6,0,30
18,10,"GameCube",5,0,30
18,10,"PC",4,1,30
18,10,"PlayStation",3,0,30
18,10,"PSPortable",2,0,30
18,10,"Xbox",1,0,30
18,1,"GameBoy",5,0,31
18,1,"GameCube",6,0,31
18,1,"PC",1,1,31
18,1,"PlayStation",2,0,31
18,1,"PSPortable",3,1,31
18,1,"Xbox",4,0,31
18,0,"GameBoy",2,0,32
18,0,"GameCube",1,0,32
18,0,"PC",6,0,32
18,0,"PlayStation",5,0,32
18,0,"PSPortable",4,0,32
18,0,"Xbox",3,0,32
19,1,"GameBoy",2,1,33
19,1,"GameCube",3,0,33
19,1,"PC",1,1,33
19,1,"PlayStation",5,1,33
19,1,"PSPortable",6,0,33
19,1,"Xbox",4,1,33
18,0,"GameBoy",5,1,34
18,0,"GameCube",6,0,34
18,0,"PC",1,1,34
18,0,"PlayStation",2,1,34
18,0,"PSPortable",4,0,34
18,0,"Xbox",3,0,34
19,0,"GameBoy",3,0,35
19,0,"GameCube",2,0,35
19,0,"PC",5,0,35
19,0,"PlayStation",6,0,35
19,0,"PSPortable",1,1,35
19,0,"Xbox",4,0,35
20,2,"GameBoy",6,0,36
20,2,"GameCube",3,0,36
20,2,"PC",1,1,36
20,2,"PlayStation",5,1,36
20,2,"PSPortable",2,1,36
20,2,"Xbox",4,0,36
18,10,"GameBoy",5,0,37
18,10,"GameCube",4,0,37
18,10,"PC",3,1,37
18,10,"PlayStation",2,1,37
18,10,"PSPortable",1,0,37
18,10,"Xbox",6,0,37
18,7,"GameBoy",4,0,38
18,7,"GameCube",5,0,38
18,7,"PC",1,1,38
18,7,"PlayStation",2,0,38
18,7,"PSPortable",6,0,38
18,7,"Xbox",3,1,38
18,2,"GameBoy",5,0,39
18,2,"GameCube",6,0,39
18,2,"PC",3,1,39
18,2,"PlayStation",2,0,39
18,2,"PSPortable",4,0,39
18,2,"Xbox",1,0,39
21,2,"GameBoy",6,0,40
21,2,"GameCube",5,0,40
21,2,"PC",3,1,40
21,2,"PlayStation",1,0,40
21,2,"PSPortable",4,0,40
21,2,"Xbox",2,0,40
19,0,"GameBoy",5,0,41
19,0,"GameCube",3,0,41
19,0,"PC",6,0,41
19,0,"PlayStation",1,0,41
19,0,"PSPortable",4,0,41
19,0,"Xbox",2,0,41
18,0,"GameBoy",3,0,42
18,0,"GameCube",2,0,42
18,0,"PC",6,1,42
18,0,"PlayStation",5,0,42
18,0,"PSPortable",1,0,42
18,0,"Xbox",4,0,42
21,0.25,"GameBoy",5,0,43
21,0.25,"GameCube",4,0,43
21,0.25,"PC",3,1,43
21,0.25,"PlayStation",1,0,43
21,0.25,"PSPortable",6,0,43
21,0.25,"Xbox",2,0,43
19,7,"GameBoy",1,1,44
19,7,"GameCube",3,0,44
19,7,"PC",2,1,44
19,7,"PlayStation",6,1,44
19,7,"PSPortable",4,0,44
19,7,"Xbox",5,0,44
19,5,"GameBoy",5,0,45
19,5,"GameCube",6,0,45
19,5,"PC",2,1,45
19,5,"PlayStation",3,1,45
19,5,"PSPortable",4,0,45
19,5,"Xbox",1,0,45
19,1,"GameBoy",2,1,46
19,1,"GameCube",1,0,46
19,1,"PC",5,1,46
19,1,"PlayStation",6,1,46
19,1,"PSPortable",4,0,46
19,1,"Xbox",3,0,46
21,1,"GameBoy",5,0,47
21,1,"GameCube",6,0,47
21,1,"PC",1,1,47
21,1,"PlayStation",3,0,47
21,1,"PSPortable",4,0,47
21,1,"Xbox",2,0,47
23,4,"GameBoy",6,0,48
23,4,"GameCube",5,0,48
23,4,"PC",2,1,48
23,4,"PlayStation",4,0,48
23,4,"PSPortable",3,0,48
23,4,"Xbox",1,0,48
22,1,"GameBoy",4,1,49
22,1,"GameCube",2,0,49
22,1,"PC",6,1,49
22,1,"PlayStation",1,1,49
22,1,"PSPortable",3,0,49
22,1,"Xbox",5,0,49
24,7,"GameBoy",5,0,50
24,7,"GameCube",2,0,50
24,7,"PC",1,1,50
24,7,"PlayStation",6,0,50
24,7,"PSPortable",4,1,50
24,7,"Xbox",3,0,50
19,0,"GameBoy",3,0,51
19,0,"GameCube",1,0,51
19,0,"PC",6,1,51
19,0,"PlayStation",5,0,51
19,0,"PSPortable",2,0,51
19,0,"Xbox",4,0,51
21,0,"GameBoy",4,0,52
21,0,"GameCube",6,0,52
21,0,"PC",1,1,52
21,0,"PlayStation",3,0,52
21,0,"PSPortable",5,0,52
21,0,"Xbox",2,0,52
20,7,"GameBoy",4,0,53
20,7,"GameCube",6,0,53
20,7,"PC",3,1,53
20,7,"PlayStation",2,0,53
20,7,"PSPortable",5,0,53
20,7,"Xbox",1,0,53
20,5,"GameBoy",5,1,54
20,5,"GameCube",6,0,54
20,5,"PC",1,1,54
20,5,"PlayStation",3,1,54
20,5,"PSPortable",4,0,54
20,5,"Xbox",2,1,54
22,15,"GameBoy",4,0,55
22,15,"GameCube",6,0,55
22,15,"PC",1,1,55
22,15,"PlayStation",5,0,55
22,15,"PSPortable",2,0,55
22,15,"Xbox",3,0,55
21,5,"GameBoy",4,1,56
21,5,"GameCube",6,0,56
21,5,"PC",3,1,56
21,5,"PlayStation",1,1,56
21,5,"PSPortable",5,0,56
21,5,"Xbox",2,0,56
18,0,"GameBoy",5,0,57
18,0,"GameCube",6,0,57
18,0,"PC",1,1,57
18,0,"PlayStation",2,0,57
18,0,"PSPortable",4,0,57
18,0,"Xbox",3,0,57
20,2,"GameBoy",5,0,58
20,2,"GameCube",6,0,58
20,2,"PC",1,1,58
20,2,"PlayStation",3,0,58
20,2,"PSPortable",4,0,58
20,2,"Xbox",2,0,58
24,0,"GameBoy",5,0,59
24,0,"GameCube",6,0,59
24,0,"PC",1,1,59
24,0,"PlayStation",4,0,59
24,0,"PSPortable",3,0,59
24,0,"Xbox",2,0,59
25,0,"GameBoy",5,0,60
25,0,"GameCube",6,0,60
25,0,"PC",1,1,60
25,0,"PlayStation",4,0,60
25,0,"PSPortable",3,0,60
25,0,"Xbox",2,0,60
21,1,"GameBoy",2,1,61
21,1,"GameCube",5,1,61
21,1,"PC",6,1,61
21,1,"PlayStation",4,1,61
21,1,"PSPortable",1,1,61
21,1,"Xbox",3,0,61
22,0.5,"GameBoy",3,0,62
22,0.5,"GameCube",2,0,62
22,0.5,"PC",1,1,62
22,0.5,"PlayStation",4,0,62
22,0.5,"PSPortable",6,0,62
22,0.5,"Xbox",5,0,62
21,1,"GameBoy",5,0,63
21,1,"GameCube",4,0,63
21,1,"PC",2,1,63
21,1,"PlayStation",6,0,63
21,1,"PSPortable",3,0,63
21,1,"Xbox",1,0,63
19,8,"GameBoy",5,0,64
19,8,"GameCube",4,1,64
19,8,"PC",1,1,64
19,8,"PlayStation",3,0,64
19,8,"PSPortable",6,0,64
19,8,"Xbox",2,0,64
20,15,"GameBoy",6,0,65
20,15,"GameCube",5,0,65
20,15,"PC",1,1,65
20,15,"PlayStation",2,0,65
20,15,"PSPortable",4,0,65
20,15,"Xbox",3,0,65
20,0,"GameBoy",5,0,66
20,0,"GameCube",2,0,66
20,0,"PC",6,1,66
20,0,"PlayStation",4,0,66
20,0,"PSPortable",3,0,66
20,0,"Xbox",1,0,66
20,0,"GameBoy",3,0,67
20,0,"GameCube",1,0,67
20,0,"PC",4,1,67
20,0,"PlayStation",6,0,67
20,0,"PSPortable",2,0,67
20,0,"Xbox",5,0,67
20,5,"GameBoy",5,0,68
20,5,"GameCube",6,0,68
20,5,"PC",2,1,68
20,5,"PlayStation",1,1,68
20,5,"PSPortable",4,0,68
20,5,"Xbox",3,0,68
21,1,"GameBoy",5,0,69
21,1,"GameCube",6,0,69
21,1,"PC",3,1,69
21,1,"PlayStation",2,0,69
21,1,"PSPortable",4,0,69
21,1,"Xbox",1,0,69
22,0.5,"GameBoy",6,0,70
22,0.5,"GameCube",5,0,70
22,0.5,"PC",1,1,70
22,0.5,"PlayStation",3,0,70
22,0.5,"PSPortable",4,0,70
22,0.5,"Xbox",2,0,70
22,8,"GameBoy",4,0,71
22,8,"GameCube",2,1,71
22,8,"PC",5,0,71
22,8,"PlayStation",3,0,71
22,8,"PSPortable",6,0,71
22,8,"Xbox",1,1,71
19,1,"GameBoy",4,0,72
19,1,"GameCube",5,1,72
19,1,"PC",2,1,72
19,1,"PlayStation",1,1,72
19,1,"PSPortable",6,0,72
19,1,"Xbox",3,0,72
20,0,"GameBoy",4,0,73
20,0,"GameCube",3,0,73
20,0,"PC",6,1,73
20,0,"PlayStation",2,0,73
20,0,"PSPortable",5,0,73
20,0,"Xbox",1,0,73
22,15,"GameBoy",6,0,74
22,15,"GameCube",4,0,74
22,15,"PC",2,1,74
22,15,"PlayStation",1,0,74
22,15,"PSPortable",5,0,74
22,15,"Xbox",3,0,74
22,0,"GameBoy",5,0,75
22,0,"GameCube",3,0,75
22,0,"PC",6,1,75
22,0,"PlayStation",1,0,75
22,0,"PSPortable",4,0,75
22,0,"Xbox",2,0,75
25,4,"GameBoy",6,0,76
25,4,"GameCube",5,0,76
25,4,"PC",3,0,76
25,4,"PlayStation",1,1,76
25,4,"PSPortable",4,0,76
25,4,"Xbox",2,0,76
21,1,"GameBoy",6,0,77
21,1,"GameCube",4,0,77
21,1,"PC",1,1,77
21,1,"PlayStation",3,0,77
21,1,"PSPortable",5,0,77
21,1,"Xbox",2,0,77
25,28,"GameBoy",5,0,78
25,28,"GameCube",4,0,78
25,28,"PC",1,1,78
25,28,"PlayStation",3,1,78
25,28,"PSPortable",6,0,78
25,28,"Xbox",2,1,78
19,1,"GameBoy",5,0,79
19,1,"GameCube",6,0,79
19,1,"PC",4,1,79
19,1,"PlayStation",1,0,79
19,1,"PSPortable",3,0,79
19,1,"Xbox",2,0,79
22,15,"GameBoy",4,0,80
22,15,"GameCube",6,0,80
22,15,"PC",1,1,80
22,15,"PlayStation",2,1,80
22,15,"PSPortable",3,0,80
22,15,"Xbox",5,0,80
21,10,"GameBoy",4,1,81
21,10,"GameCube",2,1,81
21,10,"PC",1,1,81
21,10,"PlayStation",3,1,81
21,10,"PSPortable",5,0,81
21,10,"Xbox",6,1,81
19,1,"GameBoy",4,0,82
19,1,"GameCube",3,0,82
19,1,"PC",1,1,82
19,1,"PlayStation",6,0,82
19,1,"PSPortable",2,0,82
19,1,"Xbox",5,0,82
27,2,"GameBoy",5,0,83
27,2,"GameCube",6,1,83
27,2,"PC",2,0,83
27,2,"PlayStation",3,0,83
27,2,"PSPortable",1,0,83
27,2,"Xbox",4,0,83
23,2,"GameBoy",3,0,84
23,2,"GameCube",2,1,84
23,2,"PC",1,1,84
23,2,"PlayStation",5,1,84
23,2,"PSPortable",6,0,84
23,2,"Xbox",4,0,84
25,10,"GameBoy",6,0,85
25,10,"GameCube",4,0,85
25,10,"PC",1,1,85
25,10,"PlayStation",2,0,85
25,10,"PSPortable",5,0,85
25,10,"Xbox",3,0,85
20,8,"GameBoy",6,0,86
20,8,"GameCube",4,0,86
20,8,"PC",1,1,86
20,8,"PlayStation",3,0,86
20,8,"PSPortable",5,0,86
20,8,"Xbox",2,0,86
20,10,"GameBoy",2,0,87
20,10,"GameCube",6,0,87
20,10,"PC",4,1,87
20,10,"PlayStation",3,0,87
20,10,"PSPortable",5,0,87
20,10,"Xbox",1,1,87
20,10,"GameBoy",5,0,88
20,10,"GameCube",6,0,88
20,10,"PC",1,1,88
20,10,"PlayStation",2,0,88
20,10,"PSPortable",4,0,88
20,10,"Xbox",3,0,88
22,0,"GameBoy",3,0,89
22,0,"GameCube",4,0,89
22,0,"PC",1,1,89
22,0,"PlayStation",2,0,89
22,0,"PSPortable",6,0,89
22,0,"Xbox",5,0,89
23,0,"GameBoy",6,0,90
23,0,"GameCube",4,0,90
23,0,"PC",1,0,90
23,0,"PlayStation",3,0,90
23,0,"PSPortable",2,0,90
23,0,"Xbox",5,0,90
21,3,"GameBoy",6,0,91
21,3,"GameCube",5,0,91
21,3,"PC",2,1,91
21,3,"PlayStation",1,1,91
21,3,"PSPortable",3,0,91
21,3,"Xbox",4,0,91
